size,model,both_mrr,head_mrr,tail_mrr,both_hits@1,both_hits@3,both_hits@10,head_hits@10,tail_hits@10,entity_count,relation_count
20000,TransE,0.03664080426096916,0.02712307684123516,0.046158529818058014,0.0065,0.0355,0.093,0.066,0.12,12414,433
20000,ComplEx,0.0010469653643667698,0.001041682786308229,0.0010522480588406324,0.0005,0.0005,0.001,0.001,0.001,12414,433
49253,TransE,0.09477821737527847,0.076612688601017,0.11294373869895935,0.02598984771573604,0.10862944162436548,0.22426395939086294,0.18883248730964466,0.25969543147208124,26765,549
49253,ComplEx,0.0016343195457011461,0.0017525892471894622,0.0015160504262894392,0.0006091370558375635,0.0015228426395939086,0.0026395939086294416,0.0026395939086294416,0.0026395939086294416,26765,549
