subject,subject_type,predicate,object,object_type,source_url,sentence,confidence,method
the 21st century,DATE,begin,a United States,GPE,https://www.britannica.com/topic/Interstellar,Plot Interstellar begins sometime in the 21st century in a United States that is beset by constant windstorms reminiscent of those that caused the 1930s Dust Bowl,0.45,same_sentence_root
the four years,DATE,tell,Jonathan,PERSON,https://www.britannica.com/topic/Interstellar,"I’d been hearing about [Interstellar] over the four years [Jonathan] worked on it,” Christopher Nolan told The Hollywood Reporter in 2015",0.45,same_sentence_root
two,CARDINAL,work_for,about three years,DATE,https://www.britannica.com/topic/Interstellar,"Jonathan Nolan initially pitched the idea for Interstellar to director Steven Spielberg, and the two worked together on the project for about three years",0.85,dependency
1949,DATE,use,Harry S. Truman,PERSON,https://www.britannica.com/topic/Oppenheimer-film,"These sympathies are used against him in the 1950s government hearing, in which officials consider revoking his security clearance on the basis of accusations that he had associated with communists during the early days of World War II, that he had given conflicting testimony to the Federal Bureau of Investigation (FBI), and that he had opposed the development of the hydrogen bomb in 1949 and continued to lobby against it after Pres. Harry S. Truman (Gary Oldman) had ordered the commission to proceed with its development",0.45,same_sentence_root
2010,DATE,know,Interstellar,WORK_OF_ART,https://www.britannica.com/topic/Oppenheimer-film,"Nolan is also known for directing the films Inception (2010), Interstellar (2014), Dunkirk (2017), and several Batman movies",0.45,same_sentence_root
2014,DATE,know,Dunkirk,WORK_OF_ART,https://www.britannica.com/topic/Oppenheimer-film,"Nolan is also known for directing the films Inception (2010), Interstellar (2014), Dunkirk (2017), and several Batman movies",0.45,same_sentence_root
2017,DATE,know,Batman,ORG,https://www.britannica.com/topic/Oppenheimer-film,"Nolan is also known for directing the films Inception (2010), Interstellar (2014), Dunkirk (2017), and several Batman movies",0.45,same_sentence_root
2023,DATE,direct,the Academy Award,WORK_OF_ART,https://www.britannica.com/topic/Oppenheimer-film,"Christopher Nolan directed the film Oppenheimer (2023), for which he won the Academy Award for best director",0.45,same_sentence_root
2023,DATE,explore,J. Robert Oppenheimer,PERSON,https://www.britannica.com/topic/Oppenheimer-film,"The film Oppenheimer (2023) explores the life and legacy of American physicist J. Robert Oppenheimer, who played a key role in developing the atomic bomb",0.45,same_sentence_root
2023,DATE,film,J. Robert Oppenheimer,PERSON,https://www.britannica.com/topic/Oppenheimer-film,"American and British dramatic biographical film, released in 2023, that explores the life and legacy of the American physicist J. Robert Oppenheimer, who played a key role in the development of the atomic bomb",0.45,same_sentence_root
Academy Awardsnominations,WORK_OF_ART,dominate,Greta Gerwig’s,PERSON,https://www.britannica.com/topic/Oppenheimer-film,"The film also dominated the Academy Awardsnominations, garnering 13 nominations compared with the 8 for Greta Gerwig’s Barbie, which opened the same weekend as Oppenheimer but topped Nolan’s film at the box office",0.45,same_sentence_root
American Prometheus: The Triumph and Tragedy,WORK_OF_ART,adapt,J. Robert Oppenheimer,PERSON,https://www.britannica.com/topic/Oppenheimer-film,"Oppenheimer was adapted by Nolan from a Pulitzer Prize-winning biography of Oppenheimer by Kai Bird and Martin Sherwin, American Prometheus: The Triumph and Tragedy of J. Robert Oppenheimer (2005",0.45,same_sentence_root
Barbie,WORK_OF_ART,dominate,Oppenheimer,PERSON,https://www.britannica.com/topic/Oppenheimer-film,"The film also dominated the Academy Awardsnominations, garnering 13 nominations compared with the 8 for Greta Gerwig’s Barbie, which opened the same weekend as Oppenheimer but topped Nolan’s film at the box office",0.45,same_sentence_root
CPUSA,ORG,focus,U.S. Army,ORG,https://www.britannica.com/topic/Oppenheimer-film,"Most of the film’s first two hours focus on events in Oppenheimer’s career leading up to the detonation of the first atomic bomb at the Trinity Site, and his relationships with other scientists; his wife, Kitty (Emily Blunt); his lover, Jean Tatlock (Florence Pugh), who is involved with the Communist Party of the United States of America (CPUSA); and the U.S. Army general overseeing the Manhattan Project, Leslie Richard Groves (Matt Damon",0.45,same_sentence_root
Christopher Nolan,PERSON,acclaim,Academy Awards,WORK_OF_ART,https://www.britannica.com/topic/Oppenheimer-film,"Oppenheimer was critically acclaimed for its complex portrayal of its subject as well as for the technical accomplishments of its director, Christopher Nolan, and it won seven Academy Awards, including best actor, best director, and best picture",0.45,same_sentence_root
Christopher Nolan,PERSON,direct,Oppenheimer,WORK_OF_ART,https://www.britannica.com/topic/Oppenheimer-film,"Christopher Nolan directed the film Oppenheimer (2023), for which he won the Academy Award for best director",0.45,same_sentence_root
Cillian Murphy,PERSON,weave,the Los Alamos Laboratory,ORG,https://www.britannica.com/topic/Oppenheimer-film,"It weaves a story across multiple time periods, following Oppenheimer (Cillian Murphy) from his university study to his directorship of the Los Alamos Laboratory during the Manhattan Project",0.45,same_sentence_root
Dunkirk,WORK_OF_ART,know,2017,DATE,https://www.britannica.com/topic/Oppenheimer-film,"Nolan is also known for directing the films Inception (2010), Interstellar (2014), Dunkirk (2017), and several Batman movies",0.45,same_sentence_root
Emily Blunt,PERSON,focus,Tatlock,PERSON,https://www.britannica.com/topic/Oppenheimer-film,"Most of the film’s first two hours focus on events in Oppenheimer’s career leading up to the detonation of the first atomic bomb at the Trinity Site, and his relationships with other scientists; his wife, Kitty (Emily Blunt); his lover, Jean Tatlock (Florence Pugh), who is involved with the Communist Party of the United States of America (CPUSA); and the U.S. Army general overseeing the Manhattan Project, Leslie Richard Groves (Matt Damon",0.45,same_sentence_root
FBI,ORG,use,1949,DATE,https://www.britannica.com/topic/Oppenheimer-film,"These sympathies are used against him in the 1950s government hearing, in which officials consider revoking his security clearance on the basis of accusations that he had associated with communists during the early days of World War II, that he had given conflicting testimony to the Federal Bureau of Investigation (FBI), and that he had opposed the development of the hydrogen bomb in 1949 and continued to lobby against it after Pres. Harry S. Truman (Gary Oldman) had ordered the commission to proceed with its development",0.45,same_sentence_root
Florence Pugh,PERSON,focus,the Communist Party of the United States of America,ORG,https://www.britannica.com/topic/Oppenheimer-film,"Most of the film’s first two hours focus on events in Oppenheimer’s career leading up to the detonation of the first atomic bomb at the Trinity Site, and his relationships with other scientists; his wife, Kitty (Emily Blunt); his lover, Jean Tatlock (Florence Pugh), who is involved with the Communist Party of the United States of America (CPUSA); and the U.S. Army general overseeing the Manhattan Project, Leslie Richard Groves (Matt Damon",0.45,same_sentence_root
Greta Gerwig’s,PERSON,dominate,Barbie,WORK_OF_ART,https://www.britannica.com/topic/Oppenheimer-film,"The film also dominated the Academy Awardsnominations, garnering 13 nominations compared with the 8 for Greta Gerwig’s Barbie, which opened the same weekend as Oppenheimer but topped Nolan’s film at the box office",0.45,same_sentence_root
Harry S. Truman,PERSON,use,Gary Oldman,PERSON,https://www.britannica.com/topic/Oppenheimer-film,"These sympathies are used against him in the 1950s government hearing, in which officials consider revoking his security clearance on the basis of accusations that he had associated with communists during the early days of World War II, that he had given conflicting testimony to the Federal Bureau of Investigation (FBI), and that he had opposed the development of the hydrogen bomb in 1949 and continued to lobby against it after Pres. Harry S. Truman (Gary Oldman) had ordered the commission to proceed with its development",0.45,same_sentence_root
Hiroshima,GPE,criticize,Nagasaki,GPE,https://www.britannica.com/topic/Oppenheimer-film,Others criticized the movie for choosing not to directly depict the suffering of Japanese victims of the dropping of atomic bombs on Hiroshima and Nagasaki and for not mentioning the Indigenous and Hispanic people whose land was dispossessed to construct the Los Alamos Laboratory and who suffered ill health effects from nuclear fallout,0.45,same_sentence_root
Inception,WORK_OF_ART,know,2010,DATE,https://www.britannica.com/topic/Oppenheimer-film,"Nolan is also known for directing the films Inception (2010), Interstellar (2014), Dunkirk (2017), and several Batman movies",0.45,same_sentence_root
Interstellar,WORK_OF_ART,know,2014,DATE,https://www.britannica.com/topic/Oppenheimer-film,"Nolan is also known for directing the films Inception (2010), Interstellar (2014), Dunkirk (2017), and several Batman movies",0.45,same_sentence_root
J. Robert Oppenheimer,PERSON,adapt,2005,DATE,https://www.britannica.com/topic/Oppenheimer-film,"Oppenheimer was adapted by Nolan from a Pulitzer Prize-winning biography of Oppenheimer by Kai Bird and Martin Sherwin, American Prometheus: The Triumph and Tragedy of J. Robert Oppenheimer (2005",0.45,same_sentence_root
Kai Bird,PERSON,adapt,Martin Sherwin,PERSON,https://www.britannica.com/topic/Oppenheimer-film,"Oppenheimer was adapted by Nolan from a Pulitzer Prize-winning biography of Oppenheimer by Kai Bird and Martin Sherwin, American Prometheus: The Triumph and Tragedy of J. Robert Oppenheimer (2005",0.45,same_sentence_root
Kitty,PERSON,focus,Emily Blunt,PERSON,https://www.britannica.com/topic/Oppenheimer-film,"Most of the film’s first two hours focus on events in Oppenheimer’s career leading up to the detonation of the first atomic bomb at the Trinity Site, and his relationships with other scientists; his wife, Kitty (Emily Blunt); his lover, Jean Tatlock (Florence Pugh), who is involved with the Communist Party of the United States of America (CPUSA); and the U.S. Army general overseeing the Manhattan Project, Leslie Richard Groves (Matt Damon",0.45,same_sentence_root
Kitty Oppenheimer,PERSON,criticize,Jean Tatlock,PERSON,https://www.britannica.com/topic/Oppenheimer-film,Some reviewers criticized the film for neglecting to develop the characters of Kitty Oppenheimer and Jean Tatlock,0.45,same_sentence_root
Kitty Oppenheimer,PERSON,fault,Jean Tatlock,PERSON,https://www.britannica.com/topic/Oppenheimer-film,"Nevertheless, some reviewers faulted Oppenheimer for neglecting to develop the characters of Kitty Oppenheimer and Jean Tatlock",0.45,same_sentence_root
Leslie Richard Groves,PERSON,focus,Matt Damon,PERSON,https://www.britannica.com/topic/Oppenheimer-film,"Most of the film’s first two hours focus on events in Oppenheimer’s career leading up to the detonation of the first atomic bomb at the Trinity Site, and his relationships with other scientists; his wife, Kitty (Emily Blunt); his lover, Jean Tatlock (Florence Pugh), who is involved with the Communist Party of the United States of America (CPUSA); and the U.S. Army general overseeing the Manhattan Project, Leslie Richard Groves (Matt Damon",0.45,same_sentence_root
Lewis Strauss,PERSON,intersperse,"Robert Downey, Jr",PERSON,https://www.britannica.com/topic/Oppenheimer-film,"These scenes are interspersed with depictions of a government hearing during the 1950s, in which Oppenheimer is forced to defend himself against challenges to his loyalty and patriotism, and a Senate confirmation hearing for Lewis Strauss (Robert Downey, Jr.), an antagonist of Oppenheimer who had been nominated to become U.S. secretary of commerce",0.45,same_sentence_root
Martin Sherwin,PERSON,adapt,American Prometheus: The Triumph and Tragedy,WORK_OF_ART,https://www.britannica.com/topic/Oppenheimer-film,"Oppenheimer was adapted by Nolan from a Pulitzer Prize-winning biography of Oppenheimer by Kai Bird and Martin Sherwin, American Prometheus: The Triumph and Tragedy of J. Robert Oppenheimer (2005",0.45,same_sentence_root
Murphy,PERSON,praise,Oppenheimer,PERSON,https://www.britannica.com/topic/Oppenheimer-film,"Reviewers praised Murphy’s enigmatic performance and his instantly iconic appearance as the gaunt, fedora-wearing Oppenheimer",0.45,same_sentence_root
Murphy,PERSON,win,the Golden Globe,WORK_OF_ART,https://www.britannica.com/topic/Oppenheimer-film,"Murphy won the Golden Globe for best performance by an actor in a drama motion picture, and Downey won in the supporting actor category",0.85,dependency
Nolan,PERSON,adapt,Pulitzer Prize,WORK_OF_ART,https://www.britannica.com/topic/Oppenheimer-film,"Oppenheimer was adapted by Nolan from a Pulitzer Prize-winning biography of Oppenheimer by Kai Bird and Martin Sherwin, American Prometheus: The Triumph and Tragedy of J. Robert Oppenheimer (2005",0.45,same_sentence_root
Nolan,PERSON,know,Inception,WORK_OF_ART,https://www.britannica.com/topic/Oppenheimer-film,"Nolan is also known for directing the films Inception (2010), Interstellar (2014), Dunkirk (2017), and several Batman movies",0.45,same_sentence_root
One,CARDINAL,be,Strauss,PERSON,https://www.britannica.com/topic/Oppenheimer-film,"One of the figures he has been critical of is Strauss, who had clashed with him over the direction of nuclear arms policy, especially whether to develop the hydrogen bomb",0.85,dependency
Oppenheimer,PERSON,adapt,Kai Bird,PERSON,https://www.britannica.com/topic/Oppenheimer-film,"Oppenheimer was adapted by Nolan from a Pulitzer Prize-winning biography of Oppenheimer by Kai Bird and Martin Sherwin, American Prometheus: The Triumph and Tragedy of J. Robert Oppenheimer (2005",0.45,same_sentence_root
Oppenheimer,PERSON,adapt,Nolan,PERSON,https://www.britannica.com/topic/Oppenheimer-film,"Oppenheimer was adapted by Nolan from a Pulitzer Prize-winning biography of Oppenheimer by Kai Bird and Martin Sherwin, American Prometheus: The Triumph and Tragedy of J. Robert Oppenheimer (2005",0.45,same_sentence_root
Oppenheimer,PERSON,become,Strauss,PERSON,https://www.britannica.com/topic/Oppenheimer-film,Strauss’s relationship with Oppenheimer becomes a point of contention during Strauss’s ultimately unsuccessful Senate confirmation hearing,0.45,same_sentence_root
Oppenheimer,PERSON,become,U.S,GPE,https://www.britannica.com/topic/Oppenheimer-film,"By this time Oppenheimer has become a vocal critic of the U.S. government’s role in the proliferation of nuclear weapons, and the loss of his security clearance would deal a significant blow to his reputation and credibility",0.45,same_sentence_root
Oppenheimer,WORK_OF_ART,direct,2023,DATE,https://www.britannica.com/topic/Oppenheimer-film,"Christopher Nolan directed the film Oppenheimer (2023), for which he won the Academy Award for best director",0.45,same_sentence_root
Oppenheimer,PERSON,dominate,Nolan,PERSON,https://www.britannica.com/topic/Oppenheimer-film,"The film also dominated the Academy Awardsnominations, garnering 13 nominations compared with the 8 for Greta Gerwig’s Barbie, which opened the same weekend as Oppenheimer but topped Nolan’s film at the box office",0.45,same_sentence_root
Oppenheimer,WORK_OF_ART,explore,2023,DATE,https://www.britannica.com/topic/Oppenheimer-film,"The film Oppenheimer (2023) explores the life and legacy of American physicist J. Robert Oppenheimer, who played a key role in developing the atomic bomb",0.45,same_sentence_root
Oppenheimer,PERSON,fault,Kitty Oppenheimer,PERSON,https://www.britannica.com/topic/Oppenheimer-film,"Nevertheless, some reviewers faulted Oppenheimer for neglecting to develop the characters of Kitty Oppenheimer and Jean Tatlock",0.45,same_sentence_root
Oppenheimer,ORG,gross,more than $300 million,MONEY,https://www.britannica.com/topic/Oppenheimer-film,"Oppenheimer grossed more than $300 million domestically and more than $600 million internationally by the end of November 2023, making it the second highest grossing R-rated film of all time",0.85,dependency
Oppenheimer,ORG,gross,the end of November 2023,DATE,https://www.britannica.com/topic/Oppenheimer-film,"Oppenheimer grossed more than $300 million domestically and more than $600 million internationally by the end of November 2023, making it the second highest grossing R-rated film of all time",0.45,same_sentence_root
Oppenheimer,ORG,gross_by,the end of November 2023,DATE,https://www.britannica.com/topic/Oppenheimer-film,"Oppenheimer grossed more than $300 million domestically and more than $600 million internationally by the end of November 2023, making it the second highest grossing R-rated film of all time",0.85,dependency
Oppenheimer,PERSON,intersperse,Senate,ORG,https://www.britannica.com/topic/Oppenheimer-film,"These scenes are interspersed with depictions of a government hearing during the 1950s, in which Oppenheimer is forced to defend himself against challenges to his loyalty and patriotism, and a Senate confirmation hearing for Lewis Strauss (Robert Downey, Jr.), an antagonist of Oppenheimer who had been nominated to become U.S. secretary of commerce",0.45,same_sentence_root
Oppenheimer,PERSON,intersperse,U.S,GPE,https://www.britannica.com/topic/Oppenheimer-film,"These scenes are interspersed with depictions of a government hearing during the 1950s, in which Oppenheimer is forced to defend himself against challenges to his loyalty and patriotism, and a Senate confirmation hearing for Lewis Strauss (Robert Downey, Jr.), an antagonist of Oppenheimer who had been nominated to become U.S. secretary of commerce",0.45,same_sentence_root
Oppenheimer,PERSON,weave,Cillian Murphy,PERSON,https://www.britannica.com/topic/Oppenheimer-film,"It weaves a story across multiple time periods, following Oppenheimer (Cillian Murphy) from his university study to his directorship of the Los Alamos Laboratory during the Manhattan Project",0.45,same_sentence_root
Oppenheimer,PERSON,win,Academy Awards,WORK_OF_ART,https://www.britannica.com/topic/Oppenheimer-film,"Oppenheimer won seven Academy Awards, including best actor, best director, and best picture",0.85,dependency
Pulitzer Prize,WORK_OF_ART,adapt,Oppenheimer,PERSON,https://www.britannica.com/topic/Oppenheimer-film,"Oppenheimer was adapted by Nolan from a Pulitzer Prize-winning biography of Oppenheimer by Kai Bird and Martin Sherwin, American Prometheus: The Triumph and Tragedy of J. Robert Oppenheimer (2005",0.45,same_sentence_root
"Robert Downey, Jr",PERSON,intersperse,Oppenheimer,PERSON,https://www.britannica.com/topic/Oppenheimer-film,"These scenes are interspersed with depictions of a government hearing during the 1950s, in which Oppenheimer is forced to defend himself against challenges to his loyalty and patriotism, and a Senate confirmation hearing for Lewis Strauss (Robert Downey, Jr.), an antagonist of Oppenheimer who had been nominated to become U.S. secretary of commerce",0.45,same_sentence_root
Senate,ORG,intersperse,Lewis Strauss,PERSON,https://www.britannica.com/topic/Oppenheimer-film,"These scenes are interspersed with depictions of a government hearing during the 1950s, in which Oppenheimer is forced to defend himself against challenges to his loyalty and patriotism, and a Senate confirmation hearing for Lewis Strauss (Robert Downey, Jr.), an antagonist of Oppenheimer who had been nominated to become U.S. secretary of commerce",0.45,same_sentence_root
Strauss,PERSON,become,Oppenheimer,PERSON,https://www.britannica.com/topic/Oppenheimer-film,Strauss’s relationship with Oppenheimer becomes a point of contention during Strauss’s ultimately unsuccessful Senate confirmation hearing,0.45,same_sentence_root
Strauss,PERSON,become,Senate,ORG,https://www.britannica.com/topic/Oppenheimer-film,Strauss’s relationship with Oppenheimer becomes a point of contention during Strauss’s ultimately unsuccessful Senate confirmation hearing,0.45,same_sentence_root
Tatlock,PERSON,focus,Florence Pugh,PERSON,https://www.britannica.com/topic/Oppenheimer-film,"Most of the film’s first two hours focus on events in Oppenheimer’s career leading up to the detonation of the first atomic bomb at the Trinity Site, and his relationships with other scientists; his wife, Kitty (Emily Blunt); his lover, Jean Tatlock (Florence Pugh), who is involved with the Communist Party of the United States of America (CPUSA); and the U.S. Army general overseeing the Manhattan Project, Leslie Richard Groves (Matt Damon",0.45,same_sentence_root
U.S. Army,ORG,focus,Leslie Richard Groves,PERSON,https://www.britannica.com/topic/Oppenheimer-film,"Most of the film’s first two hours focus on events in Oppenheimer’s career leading up to the detonation of the first atomic bomb at the Trinity Site, and his relationships with other scientists; his wife, Kitty (Emily Blunt); his lover, Jean Tatlock (Florence Pugh), who is involved with the Communist Party of the United States of America (CPUSA); and the U.S. Army general overseeing the Manhattan Project, Leslie Richard Groves (Matt Damon",0.45,same_sentence_root
World War II,EVENT,use,the Federal Bureau of Investigation,ORG,https://www.britannica.com/topic/Oppenheimer-film,"These sympathies are used against him in the 1950s government hearing, in which officials consider revoking his security clearance on the basis of accusations that he had associated with communists during the early days of World War II, that he had given conflicting testimony to the Federal Bureau of Investigation (FBI), and that he had opposed the development of the hydrogen bomb in 1949 and continued to lobby against it after Pres. Harry S. Truman (Gary Oldman) had ordered the commission to proceed with its development",0.45,same_sentence_root
the 1950s,DATE,intersperse,Oppenheimer,PERSON,https://www.britannica.com/topic/Oppenheimer-film,"These scenes are interspersed with depictions of a government hearing during the 1950s, in which Oppenheimer is forced to defend himself against challenges to his loyalty and patriotism, and a Senate confirmation hearing for Lewis Strauss (Robert Downey, Jr.), an antagonist of Oppenheimer who had been nominated to become U.S. secretary of commerce",0.45,same_sentence_root
the Communist Party of the United States of America,ORG,focus,CPUSA,ORG,https://www.britannica.com/topic/Oppenheimer-film,"Most of the film’s first two hours focus on events in Oppenheimer’s career leading up to the detonation of the first atomic bomb at the Trinity Site, and his relationships with other scientists; his wife, Kitty (Emily Blunt); his lover, Jean Tatlock (Florence Pugh), who is involved with the Communist Party of the United States of America (CPUSA); and the U.S. Army general overseeing the Manhattan Project, Leslie Richard Groves (Matt Damon",0.45,same_sentence_root
the Federal Bureau of Investigation,ORG,use,FBI,ORG,https://www.britannica.com/topic/Oppenheimer-film,"These sympathies are used against him in the 1950s government hearing, in which officials consider revoking his security clearance on the basis of accusations that he had associated with communists during the early days of World War II, that he had given conflicting testimony to the Federal Bureau of Investigation (FBI), and that he had opposed the development of the hydrogen bomb in 1949 and continued to lobby against it after Pres. Harry S. Truman (Gary Oldman) had ordered the commission to proceed with its development",0.45,same_sentence_root
the Golden Globe,WORK_OF_ART,win,Downey,PERSON,https://www.britannica.com/topic/Oppenheimer-film,"Murphy won the Golden Globe for best performance by an actor in a drama motion picture, and Downey won in the supporting actor category",0.45,same_sentence_root
the Los Alamos Laboratory,ORG,weave,the Manhattan Project,ORG,https://www.britannica.com/topic/Oppenheimer-film,"It weaves a story across multiple time periods, following Oppenheimer (Cillian Murphy) from his university study to his directorship of the Los Alamos Laboratory during the Manhattan Project",0.45,same_sentence_root
the early days,DATE,use,World War II,EVENT,https://www.britannica.com/topic/Oppenheimer-film,"These sympathies are used against him in the 1950s government hearing, in which officials consider revoking his security clearance on the basis of accusations that he had associated with communists during the early days of World War II, that he had given conflicting testimony to the Federal Bureau of Investigation (FBI), and that he had opposed the development of the hydrogen bomb in 1949 and continued to lobby against it after Pres. Harry S. Truman (Gary Oldman) had ordered the commission to proceed with its development",0.45,same_sentence_root
