private_entity,private_uri,entity_type,wikidata_id,wikidata_uri,wikidata_label,wikidata_description,confidence,matched,match_reason
Energy,http://example.org/webdatamining/entity/energy,ORG,Q12482493,http://www.wikidata.org/entity/Q12482493,Energy,2006 studio album by The Upstairs,0.85,True,"exact_label,api_match_text,type_hint:studio"
FBI,http://example.org/webdatamining/entity/fbi,ORG,Q846087,http://www.wikidata.org/entity/Q846087,FBI,fictional organization,0.9,True,"exact_label,api_match_text,type_hint:organization"
Haileybury,http://example.org/webdatamining/entity/haileybury,ORG,Q9284985,http://www.wikidata.org/entity/Q9284985,Haileybury,"former town in Canada, part of Temiskaming Shores, Ontario",0.75,True,"exact_label,api_match_text"
Harvard University,http://example.org/webdatamining/entity/harvard-university,ORG,Q13371,http://www.wikidata.org/entity/Q13371,Harvard University,"private university in Cambridge, Massachusetts",0.75,True,"exact_label,api_match_text"
Hulu,http://example.org/webdatamining/entity/hulu,ORG,,,,,0.7,False,"exact_label,api_match_text"
Kodak,http://example.org/webdatamining/entity/kodak,ORG,Q486269,http://www.wikidata.org/entity/Q486269,Kodak,American company,0.85,True,"exact_label,api_match_text,type_hint:company"
MGM,http://example.org/webdatamining/entity/mgm,ORG,Q134894733,http://www.wikidata.org/entity/Q134894733,MGM,Czech company,0.9,True,"exact_label,api_match_text,type_hint:company"
Metro-Goldwyn-Mayer,http://example.org/webdatamining/entity/metro-goldwyn-mayer,ORG,Q179200,http://www.wikidata.org/entity/Q179200,Metro-Goldwyn-Mayer,American film and television and distribution company,0.9,True,"exact_label,api_match_text,type_hint:company"
NASA,http://example.org/webdatamining/entity/nasa,ORG,Q309751,http://www.wikidata.org/entity/Q309751,Nasa,genus of plants,0.75,True,"exact_label,api_match_text"
NBC,http://example.org/webdatamining/entity/nbc,ORG,Q13974,http://www.wikidata.org/entity/Q13974,NBC,American television and radio network,0.9,True,"exact_label,api_match_text,type_hint:network"
National Football Conference,http://example.org/webdatamining/entity/national-football-conference,ORG,Q319007,http://www.wikidata.org/entity/Q319007,National Football Conference,one of two conferences in the National Football League,0.75,True,"exact_label,api_match_text"
Netflix,http://example.org/webdatamining/entity/netflix,ORG,Q907311,http://www.wikidata.org/entity/Q907311,Netflix,American subscription video on-demand over-the-top streaming service,0.75,True,"exact_label,api_match_text"
Oppenheimer,http://example.org/webdatamining/entity/oppenheimer,ORG,,,,,0.7,False,"exact_label,api_match_text"
Senate,http://example.org/webdatamining/entity/senate,ORG,Q2570643,http://www.wikidata.org/entity/Q2570643,senate,"type of legislative body, often the upper house or chamber of a bicameral legislature",0.75,True,"exact_label,api_match_text"
Sony Pictures Television,http://example.org/webdatamining/entity/sony-pictures-television,ORG,Q652390,http://www.wikidata.org/entity/Q652390,Sony Pictures Television,American television production and distribution studio,0.9,True,"exact_label,api_match_text,type_hint:studio"
The Federation of American Scientists,http://example.org/webdatamining/entity/the-federation-of-american-scientists,ORG,,,,,0.0,False,below_threshold
The Hollywood Reporter,http://example.org/webdatamining/entity/the-hollywood-reporter,ORG,,,,,0.7,False,"exact_label,api_match_text"
The New York Times,http://example.org/webdatamining/entity/the-new-york-times,ORG,Q9684,http://www.wikidata.org/entity/Q9684,The New York Times,American daily newspaper (founded 1851),0.75,True,"exact_label,api_match_text"
The New York Times’s,http://example.org/webdatamining/entity/the-new-york-times-s,ORG,,,,,0.25,False,token_overlap
The Writers Guild of America,http://example.org/webdatamining/entity/the-writers-guild-of-america,ORG,,,,,0.0,False,below_threshold
U.S. Army,http://example.org/webdatamining/entity/u-s-army,ORG,,,,,0.45,False,partial_label
University College London,http://example.org/webdatamining/entity/university-college-london,ORG,Q193196,http://www.wikidata.org/entity/Q193196,University College London,"public research university in London, England, United Kingdom",0.75,True,"exact_label,api_match_text"
Warner Brothers,http://example.org/webdatamining/entity/warner-brothers,ORG,,,,,0.425,False,"token_overlap,api_match_text,type_hint:company"
YouTube,http://example.org/webdatamining/entity/youtube,ORG,,,,,0.7,False,"exact_label,api_match_text"
the Academy of Motion Picture Arts and Sciences,http://example.org/webdatamining/entity/the-academy-of-motion-picture-arts-and-sciences,ORG,,,,,0.7,False,"partial_label,api_match_text,type_hint:organization"
the Atomic Energy Commission,http://example.org/webdatamining/entity/the-atomic-energy-commission,ORG,,,,,0.45,False,partial_label
the Cavendish Laboratory,http://example.org/webdatamining/entity/the-cavendish-laboratory,ORG,,,,,0.7,False,"exact_label,api_match_text"
the Communist Party,http://example.org/webdatamining/entity/the-communist-party,ORG,,,,,0.45,False,partial_label
the Communist Party of the United States of America,http://example.org/webdatamining/entity/the-communist-party-of-the-united-states-of-america,ORG,,,,,0.0,False,below_threshold
the Department of Energy,http://example.org/webdatamining/entity/the-department-of-energy,ORG,Q84287366,http://www.wikidata.org/entity/Q84287366,The Department of Energy,scientific article published on 01 September 1994,0.75,True,"exact_label,api_match_text"
the Drug Enforcement Administration,http://example.org/webdatamining/entity/the-drug-enforcement-administration,ORG,,,,,0.55,False,"partial_label,api_match_text"
the Federal Bureau of Investigation,http://example.org/webdatamining/entity/the-federal-bureau-of-investigation,ORG,,,,,0.45,False,partial_label
the General Advisory Committee,http://example.org/webdatamining/entity/the-general-advisory-committee,ORG,,,,,0.0,False,below_threshold
the Institute for Advanced Study,http://example.org/webdatamining/entity/the-institute-for-advanced-study,ORG,,,,,0.7,False,"exact_label,api_match_text"
the Los Alamos Laboratory,http://example.org/webdatamining/entity/the-los-alamos-laboratory,ORG,,,,,0.0,False,below_threshold
the Los Angeles Times,http://example.org/webdatamining/entity/the-los-angeles-times,ORG,,,,,0.55,False,"partial_label,api_match_text"
the Manhattan Project,http://example.org/webdatamining/entity/the-manhattan-project,ORG,,,,,0.7,False,"exact_label,api_match_text"
the Manhattan Project’s,http://example.org/webdatamining/entity/the-manhattan-project-s,ORG,,,,,0.0,False,below_threshold
the U.S. Army,http://example.org/webdatamining/entity/the-u-s-army,ORG,,,,,0.45,False,partial_label
the U.S. Atomic Energy Commission,http://example.org/webdatamining/entity/the-u-s-atomic-energy-commission,ORG,,,,,0.0,False,below_threshold
the U.S. Department of Energy,http://example.org/webdatamining/entity/the-u-s-department-of-energy,ORG,,,,,0.45,False,partial_label
the University of California,http://example.org/webdatamining/entity/the-university-of-california,ORG,,,,,0.45,False,partial_label
"the University of California, Los Angeles",http://example.org/webdatamining/entity/the-university-of-california-los-angeles,ORG,,,,,0.7,False,"exact_label,api_match_text"
the University of Cambridge,http://example.org/webdatamining/entity/the-university-of-cambridge,ORG,Q28765395,http://www.wikidata.org/entity/Q28765395,The University of Cambridge,scientific article (publication date: 19 June 1897),0.75,True,"exact_label,api_match_text"
A.O. Scott,http://example.org/webdatamining/entity/a-o-scott,PERSON,,,,,0.55,False,"token_overlap,api_match_text,type_hint:film"
Adolf Hitler,http://example.org/webdatamining/entity/adolf-hitler,PERSON,,,,,0.7,False,"exact_label,api_match_text"
Al Pacino,http://example.org/webdatamining/entity/al-pacino,PERSON,Q41163,http://www.wikidata.org/entity/Q41163,Al Pacino,American actor (born 1940),0.9,True,"exact_label,api_match_text,type_hint:actor"
Albert Einstein,http://example.org/webdatamining/entity/albert-einstein,PERSON,Q937,http://www.wikidata.org/entity/Q937,Albert Einstein,German-born theoretical physicist (1879–1955),0.75,True,"exact_label,api_match_text"
Amelia Brand,http://example.org/webdatamining/entity/amelia-brand,PERSON,Q113127006,http://www.wikidata.org/entity/Q113127006,Amelia Brand,fictional character from Interstellar,0.75,True,"exact_label,api_match_text"
Anne Hathaway,http://example.org/webdatamining/entity/anne-hathaway,PERSON,,,,,0.7,False,"exact_label,api_match_text"
April Reign,http://example.org/webdatamining/entity/april-reign,PERSON,Q104424812,http://www.wikidata.org/entity/Q104424812,April Reign,American media strategist and diversity & inclusion advocate,0.75,True,"exact_label,api_match_text"
Banks,http://example.org/webdatamining/entity/banks,PERSON,,,,,0.7,False,"exact_label,api_match_text"
Batman,http://example.org/webdatamining/entity/batman,PERSON,,,,,0.7,False,"exact_label,api_match_text"
Bette Davis,http://example.org/webdatamining/entity/bette-davis,PERSON,Q71206,http://www.wikidata.org/entity/Q71206,Bette Davis,American actress (1908–1989),0.75,True,"exact_label,api_match_text"
Billy Crystal,http://example.org/webdatamining/entity/billy-crystal,PERSON,Q186485,http://www.wikidata.org/entity/Q186485,Billy Crystal,"American actor, comedian, writer, producer, director and television presenter (born 1948)",0.9,True,"exact_label,api_match_text,type_hint:actor"
Bob Hope,http://example.org/webdatamining/entity/bob-hope,PERSON,Q94081,http://www.wikidata.org/entity/Q94081,Bob Hope,American entertainer (1903–2003),0.75,True,"exact_label,api_match_text"
Bob Odenkirk,http://example.org/webdatamining/entity/bob-odenkirk,PERSON,Q888178,http://www.wikidata.org/entity/Q888178,Bob Odenkirk,"American actor, comedian and filmmaker",0.9,True,"exact_label,api_match_text,type_hint:actor"
Brand,http://example.org/webdatamining/entity/brand,PERSON,,,,,0.7,False,"exact_label,api_match_text"
Brian De Palma’s,http://example.org/webdatamining/entity/brian-de-palma-s,PERSON,,,,,0.4,False,partial_label
Bryan Cranston,http://example.org/webdatamining/entity/bryan-cranston,PERSON,Q23547,http://www.wikidata.org/entity/Q23547,Bryan Cranston,"American actor, director, and producer",0.9,True,"exact_label,api_match_text,type_hint:actor"
Cassandra Kulukundis,http://example.org/webdatamining/entity/cassandra-kulukundis,PERSON,Q137855674,http://www.wikidata.org/entity/Q137855674,Cassandra Kulukundis,American casting director,0.9,True,"exact_label,api_match_text,type_hint:director"
Cedric Gibbons,http://example.org/webdatamining/entity/cedric-gibbons,PERSON,Q727904,http://www.wikidata.org/entity/Q727904,Cedric Gibbons,American art director (1890–1960),0.9,True,"exact_label,api_match_text,type_hint:director"
Chips,http://example.org/webdatamining/entity/chips,PERSON,Q1023688,http://www.wikidata.org/entity/Q1023688,CHiPs,American television crime drama series (1977–1983),0.85,True,"exact_label,api_match_text,type_hint:television"
Christian Bale,http://example.org/webdatamining/entity/christian-bale,PERSON,Q45772,http://www.wikidata.org/entity/Q45772,Christian Bale,American-English actor (born 1974),0.9,True,"exact_label,api_match_text,type_hint:actor"
Christopher,http://example.org/webdatamining/entity/christopher,PERSON,Q1084472,http://www.wikidata.org/entity/Q1084472,Christopher,male given name,0.75,True,"exact_label,api_match_text"
Christopher Nolan,http://example.org/webdatamining/entity/christopher-nolan,PERSON,Q25191,http://www.wikidata.org/entity/Q25191,Christopher Nolan,British-American filmmaker (born 1970),0.9,True,"exact_label,api_match_text,type_hint:film"
Christopher Nolan's,http://example.org/webdatamining/entity/christopher-nolan-s,PERSON,,,,,0.45,False,partial_label
Christopher Nolan’s,http://example.org/webdatamining/entity/christopher-nolan-s,PERSON,,,,,0.3,False,token_overlap
Cillian Murphy,http://example.org/webdatamining/entity/cillian-murphy,PERSON,Q202589,http://www.wikidata.org/entity/Q202589,Cillian Murphy,Irish actor (born 1976),0.9,True,"exact_label,api_match_text,type_hint:actor"
Cooper,http://example.org/webdatamining/entity/cooper,PERSON,,,,,0.7,False,"exact_label,api_match_text"
Cranston,http://example.org/webdatamining/entity/cranston,PERSON,,,,,0.7,False,"exact_label,api_match_text"
David Gyasi,http://example.org/webdatamining/entity/david-gyasi,PERSON,Q1174630,http://www.wikidata.org/entity/Q1174630,David Gyasi,British actor,0.9,True,"exact_label,api_match_text,type_hint:actor"
Dean Norris)—an,http://example.org/webdatamining/entity/dean-norris-an,PERSON,,,,,0.0,False,below_threshold
Delroy Lindo,http://example.org/webdatamining/entity/delroy-lindo,PERSON,Q362559,http://www.wikidata.org/entity/Q362559,Delroy Lindo,British-born American actor (born 1952),0.9,True,"exact_label,api_match_text,type_hint:actor"
Donald,http://example.org/webdatamining/entity/donald,PERSON,,,,,0.7,False,"exact_label,api_match_text"
Downey,http://example.org/webdatamining/entity/downey,PERSON,,,,,0.7,False,"exact_label,api_match_text"
Doyle,http://example.org/webdatamining/entity/doyle,PERSON,,,,,0.7,False,"exact_label,api_match_text"
Ella Friedman,http://example.org/webdatamining/entity/ella-friedman,PERSON,Q66712630,http://www.wikidata.org/entity/Q66712630,Ella Friedman,American art collector,0.75,True,"exact_label,api_match_text"
Ellen Burstyn,http://example.org/webdatamining/entity/ellen-burstyn,PERSON,Q211144,http://www.wikidata.org/entity/Q211144,Ellen Burstyn,American actress,0.75,True,"exact_label,api_match_text"
Emily Blunt,http://example.org/webdatamining/entity/emily-blunt,PERSON,Q193517,http://www.wikidata.org/entity/Q193517,Emily Blunt,British actress (born 1983),0.75,True,"exact_label,api_match_text"
